사고유형대분류,사고유형중분류,사고유형,도로종류,사고건수,사망자수,중상자수,경상자수,부상신고자수
차대사람,횡단중,횡단중,일반국도,784,66,376,360,23
차대사람,횡단중,횡단중,지방도,790,34,374,405,22
차대사람,횡단중,횡단중,특별광역시도,5458,148,2482,2944,229
차대사람,횡단중,횡단중,시도,4718,164,2304,2436,139
차대사람,횡단중,횡단중,군도,432,18,225,189,12
차대사람,횡단중,횡단중,고속국도,8,1,3,3,1
차대사람,횡단중,횡단중,기타,577,14,235,327,32
차대사람,차도통행중,차도통행중,일반국도,235,36,99,101,10
차대사람,차도통행중,차도통행중,지방도,241,18,115,112,8
차대사람,차도통행중,차도통행중,특별광역시도,1449,28,525,854,90
차대사람,차도통행중,차도통행중,시도,1226,47,495,690,49
차대사람,차도통행중,차도통행중,군도,231,10,115,110,3
차대사람,차도통행중,차도통행중,고속국도,4,1,1,2,0
차대사람,차도통행중,차도통행중,기타,242,6,88,138,23
차대사람,길가장자리구역통행중,길가장자리구역통행중,일반국도,82,6,28,46,3
차대사람,길가장자리구역통행중,길가장자리구역통행중,지방도,120,5,50,66,2
차대사람,길가장자리구역통행중,길가장자리구역통행중,특별광역시도,947,9,233,656,75
차대사람,길가장자리구역통행중,길가장자리구역통행중,시도,551,6,151,391,26
차대사람,길가장자리구역통행중,길가장자리구역통행중,군도,110,7,55,56,3
차대사람,길가장자리구역통행중,길가장자리구역통행중,기타,163,0,46,115,12
차대사람,보도통행중,보도통행중,일반국도,105,3,36,68,4
차대사람,보도통행중,보도통행중,지방도,88,0,33,50,8
차대사람,보도통행중,보도통행중,특별광역시도,1125,8,381,731,60
차대사람,보도통행중,보도통행중,시도,578,7,206,386,26
차대사람,보도통행중,보도통행중,군도,41,1,16,25,1
차대사람,보도통행중,보도통행중,고속국도,1,0,0,1,0
차대사람,보도통행중,보도통행중,기타,288,2,73,194,32
차대사람,기타,기타,일반국도,773,36,258,475,54
차대사람,기타,기타,지방도,657,29,274,354,37
차대사람,기타,기타,특별광역시도,6418,103,1997,4119,515
차대사람,기타,기타,시도,4214,100,1451,2597,256
차대사람,기타,기타,군도,401,23,189,198,22
차대사람,기타,기타,고속국도,68,14,36,30,3
차대사람,기타,기타,기타,2144,28,682,1366,175
차대차,정면충돌,정면충돌,일반국도,969,52,576,1143,55
차대차,정면충돌,정면충돌,지방도,886,35,427,1096,100
차대차,정면충돌,정면충돌,특별광역시도,2328,34,920,2502,187
차대차,정면충돌,정면충돌,시도,2738,62,1175,3043,170
차대차,정면충돌,정면충돌,군도,470,18,257,522,24
차대차,정면충돌,정면충돌,고속국도,34,2,24,37,2
차대차,정면충돌,정면충돌,기타,467,2,160,494,50
차대차,측면충돌,측면충돌,일반국도,6489,66,1802,7960,535
차대차,측면충돌,측면충돌,지방도,5127,44,1582,6158,467
차대차,측면충돌,측면충돌,특별광역시도,28459,121,6074,33288,2565
차대차,측면충돌,측면충돌,시도,24589,122,6389,28943,1618
차대차,측면충돌,측면충돌,군도,2904,36,1062,3266,201
차대차,측면충돌,측면충돌,고속국도,1440,10,265,1953,145
차대차,측면충돌,측면충돌,기타,2679,5,582,3099,250
차대차,후진중충돌,후진중충돌,일반국도,218,0,15,280,12
차대차,후진중충돌,후진중충돌,지방도,185,0,16,244,12
차대차,후진중충돌,후진중충돌,특별광역시도,1351,1,105,1528,63
차대차,후진중충돌,후진중충돌,시도,1109,0,95,1343,45
차대차,후진중충돌,후진중충돌,군도,164,0,28,195,7
차대차,후진중충돌,후진중충돌,고속국도,35,0,5,43,4
차대차,후진중충돌,후진중충돌,기타,452,1,40,539,19
차대차,추돌,추돌,일반국도,4455,106,1334,6735,368
차대차,추돌,추돌,지방도,2210,32,587,3208,230
차대차,추돌,추돌,특별광역시도,12321,51,2275,16917,932
차대차,추돌,추돌,시도,9649,57,2012,13928,694
차대차,추돌,추돌,군도,651,15,191,824,41
차대차,추돌,추돌,고속국도,2106,107,890,3698,357
차대차,추돌,추돌,기타,1325,11,275,1801,126
차대차,기타,기타,일반국도,3864,39,844,4696,347
차대차,기타,기타,지방도,2753,29,695,3273,244
차대차,기타,기타,특별광역시도,18033,57,3926,19464,1520
차대차,기타,기타,시도,13872,87,3213,15528,1122
차대차,기타,기타,군도,787,10,246,847,53
차대차,기타,기타,고속국도,1059,14,289,1606,129
차대차,기타,기타,기타,3854,12,777,4202,424
차량단독,전도,전도,일반국도,91,7,36,43,15
차량단독,전도,전도,지방도,101,9,51,37,14
차량단독,전도,전도,특별광역시도,249,11,82,89,86
차량단독,전도,전도,시도,303,26,120,120,58
차량단독,전도,전도,군도,122,17,36,61,19
차량단독,전도,전도,고속국도,5,1,2,0,2
차량단독,전도,전도,기타,85,11,57,53,15
차량단독,전복,전복,일반국도,30,2,21,18,8
차량단독,전복,전복,지방도,22,5,9,9,4
차량단독,전복,전복,특별광역시도,29,2,15,17,7
차량단독,전복,전복,시도,29,4,12,16,3
차량단독,전복,전복,군도,26,6,17,10,0
차량단독,전복,전복,고속국도,8,10,8,2,2
차량단독,전복,전복,기타,21,7,5,9,3
차량단독,공작물충돌,공작물충돌,일반국도,524,78,240,289,74
차량단독,공작물충돌,공작물충돌,지방도,476,60,227,232,96
차량단독,공작물충돌,공작물충돌,특별광역시도,550,57,214,316,141
차량단독,공작물충돌,공작물충돌,시도,705,91,323,387,127
차량단독,공작물충돌,공작물충돌,군도,272,23,141,143,44
차량단독,공작물충돌,공작물충돌,고속국도,74,22,52,55,18
차량단독,공작물충돌,공작물충돌,기타,141,9,59,82,32
차량단독,주/정차차량 충돌,주/정차차량 충돌,일반국도,1,0,0,0,1
차량단독,주/정차차량 충돌,주/정차차량 충돌,지방도,1,0,1,0,0
